Run,Type,Target,EBeam,P_SHMS,Theta_SHMS,P_HMS,Theta_HMS,Current,PS1,PS4,PS5,HMS_Rate_(kHz),SHMS_Rate_(kHz),Coin_Rate_(kHz),Charge_(mC),Raw_HMS,Raw_SHMS,Raw_Coin,EDTM,SHMS_Hadron_Tracking,Comments
13133,HeePSing,LH2,9.867,9.03,6.38,5.202,-23.53,7.955,10,0,-1,0.027,404.93,404.93,6.698,19k,476k,476k,9k,0.991,HeePSing
13134,HeePSing,LH2,9.867,9.03,6.38,5.202,-23.53,7.633,10,0,-1,0.028,407.98,407.98,3.509,10k,249k,249k,5k,0.991,HeePSing
13135,HeePSing,Dummy10cm,9.867,9.03,6.38,5.202,-23.53,9.362,9,0,-1,0.016,154.421,154.421,3.852,6k,206k,206k,4k,0.996,HeePSing
13136,HeePSing,Dummy10cm,9.867,9.03,7.73,5.202,-23.53,19.506,10,0,-1,0.029,148.901,148.901,13.694,15k,113k,113k,7k,0.994,HeePSing
13137,HeePSing,LH2,9.867,9.03,7.73,5.202,-23.53,35.87,10,0,-1,0.069,429.447,429.447,30.931,57k,684k,684k,9k,0.985,HeePSing
13138,HeePSing,LH2,9.867,8.035,6.6,5.202,-23.53,10.22,10,0,-1,0.028,359.344,359.344,11.1,28k,685k,685k,11k,0.993,HeePSing
13139,HeePSing,Dummy10cm,9.867,8.035,6.6,5.202,-23.53,11.454,9,0,-1,0.016,133.904,133.904,4.526,6k,211k,211k,4k,0.997,HeePSing
13140,HeePSing,Dummy10cm,9.867,8.035,9.285,5.202,-23.53,27.516,9,0,-1,0.029,58.264,58.264,14.856,13k,92k,92k,5k,0.997,HeePSing
13141,HeePSing,LH2,9.867,8.035,9.285,5.202,-23.53,30.522,9,0,-1,0.104,263.648,263.648,40.464,80k,728k,728k,14k,0.989,HeePSing
13142,HeePSing,LH2,9.867,8.035,10.26,5.202,-23.53,57.53,8,0,-1,0.108,144.838,144.838,38.732,66k,674k,674k,7k,0.992,HeePSing
13143,HeePSing,Dummy10cm,9.867,8.035,10.26,5.202,-23.53,34.567,8,0,-1,0.03,30.026,30.026,14.661,12k,90k,90k,4k,0.997,HeePSing'
