Run,Type,Target,EBeam,P_SHMS,Theta_SHMS,P_HMS,Theta_HMS,Current,PS1,PS4,PS5,HMS_Rate_(kHz),SHMS_Rate_(kHz),Coin_Rate_(kHz),Charge_(mC),Raw_HMS,Raw_SHMS,Raw_Coin,EDTM,SHMS_Hadron_Tracking,Comments
14965,HeePSing,LD2,10.549,8.035,10,4.4,-12.495,4.192,0,0,-1,28.732,61.713,61.713,6.82,15527k,32221k,32221k,31k,0.995,Inelastic Singles Run
14966,HeePSing,LD2,10.549,8.035,10,4.4,-12.495,7.221,0,0,-1,29.26,62.659,62.659,14.594,31981k,67639k,67639k,34k,0.996,Inelastic singles
14986,HeePCoin,LH2,10.549,5.53,23.11,5.878,-21.67,20.308,5,0,0,0.068,2.685,0.012,74.454,166k,349k,41k,37k,0.994,1628
14987,HeePCoin,LH2,10.549,5.53,23.11,5.878,-21.67,21.727,5,0,0,0.071,2.833,0.012,88.906,195k,417k,46k,42k,0.993,1993
14988,HeePCoin,LH2,10.549,5.53,23.11,5.878,-21.67,29.789,5,0,0,0.074,2.943,0.012,105.244,217k,492k,41k,36k,0.994,2348
14989,HeePCoin,LH2,10.549,5.53,23.11,5.878,-21.67,12.28,5,0,0,0.073,2.912,0.012,40.369,105k,190k,37k,35k,0.995,940
14991,HeePCoin,LH2,10.549,5.53,23.11,5.878,-21.67,33.157,5,0,0,0.077,3.09,0.012,121.613,245k,568k,43k,37k,0.993,2665
14992,HeePCoin,LH2,10.549,5.53,23.11,5.878,-21.67,19.364,5,0,0,0.071,2.833,0.012,35.525,80k,166k,21k,19k,0.991,806
14993,HeePCoin,Dummy10cm,10.549,5.53,23.11,5.878,-21.67,24.155,0,0,0,0.027,0.8,0.01,49.257,49k,1321k,21k,21k,1,36
14996,Prod,LH2,10.549,3.493,19.655,6.792,-13.31,22.086,10,8,0,9.723,36.026,0.091,44.855,113k,106k,142k,21k,0.995,8076
14997,Prod,LH2,10.549,3.493,19.655,6.792,-13.31,16.535,10,8,0,9.237,34.274,0.086,55.714,141k,131k,184k,35k,0.995,10173
14998,Prod,LH2,10.549,3.493,19.655,6.792,-13.31,29.228,10,8,0,12.262,45.611,0.121,121.281,305k,286k,399k,42k,0.994,21124
14999,Prod,LH2,10.549,3.493,19.655,6.792,-13.31,24.782,10,8,0,9.977,36.972,0.096,88.798,224k,209k,284k,36k,0.994,15977
15000,Prod,LH2,10.549,3.493,19.655,6.792,-13.31,25.954,10,8,0,11.174,41.524,0.107,89.99,227k,212k,290k,35k,0.994,16209
15001,Prod,LH2,10.549,3.493,19.655,6.792,-13.31,26.572,10,8,0,11.263,41.772,0.108,78.279,198k,185k,251k,30k,0.994,13913
15002,Prod,Dummy10cm,10.549,3.493,19.655,6.792,-13.31,26.217,10,8,0,3.446,15.159,0.026,29.941,23k,26k,26k,12k,0.996,295
15003,Prod,LH2,10.549,3.493,21.65,6.792,-13.31,11.892,10,8,0,8.534,16.485,0.07,2.226,6k,3k,7k,2k,0.995,not fadcmode10
15004,Prod,LH2,10.549,3.493,21.65,6.792,-13.31,25.665,10,8,0,10.657,20.561,0.085,82.42,208k,101k,222k,32k,0.995,13576
15005,Prod,LH2,10.549,3.493,21.65,6.792,-13.31,25.689,10,8,0,10.817,20.877,0.085,3.547,9k,4k,9k,1k,0.995,487
15006,Prod,LH2,10.549,3.493,21.65,6.792,-13.31,21.961,10,8,0,10.24,19.786,0.082,1.527,4k,2k,4k,1k,0.995,wrong commission run junk event-212
15007,Prod,LH2,10.549,3.493,21.65,6.792,-13.31,21.433,10,8,0,10.372,19.981,0.083,72.331,183k,89k,200k,34k,0.994,11837
15008,Prod,LH2,10.549,3.493,21.65,6.792,-13.31,21.45,10,8,0,10.487,20.19,0.084,75.678,192k,93k,210k,36k,0.994,12587
15009,Prod,LH2,10.549,3.493,21.65,6.792,-13.31,3.984,10,8,0,5.667,10.871,0.047,14.126,37k,18k,76k,45k,0.995,2405
