Run,Type,Target,EBeam,P_SHMS,Theta_SHMS,P_HMS,Theta_HMS,Current,PS1,PS4,PS5,HMS_Rate_(kHz),SHMS_Rate_(kHz),Coin_Rate_(kHz),Charge_(mC),Raw_HMS,Raw_SHMS,Raw_Coin,EDTM,SHMS_Hadron_Tracking,Comments
14208,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,34.665,14,6,0,2.564,557.424,0.108,86.046,159k,139k,225k,24k,0.955,261
14209,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,24.02,14,6,0,2.42,520.412,0.101,41.375,77k,66k,112k,17k,0.956,124
14210,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,17.472,14,6,0,1.548,296.278,0.05,23.764,45k,35k,52k,14k,0.967,77
14211,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,7.537,14,6,0,2.567,554.343,0.108,14.623,28k,24k,55k,21k,0.954,38
14212,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,18.667,14,6,0,2.064,415.902,0.073,10.595,20k,16k,26k,6k,0.963,40
14213,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,29.645,14,6,0,2.482,534.554,0.104,105.97,197k,171k,281k,35k,0.958,321
14214,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,33.508,14,6,0,2.529,545.965,0.106,120.077,223k,194k,316k,35k,0.958,432
14215,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,37.84,14,6,0,2.581,558.017,0.109,151.974,283k,246k,397k,39k,0.956,485
14216,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,33.281,14,6,0,2.556,551.295,0.107,120.541,225k,195k,318k,36k,0.956,379
14217,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,32.78,14,6,0,2.544,547.016,0.107,114.492,214k,185k,304k,34k,0.958,338
14218,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,4.092,14,6,0,1.726,349.031,0.065,2.288,4k,3k,11k,7k,0.955,7
14219,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,16.049,14,0,-1,2.342,496.783,0.097,56.609,3525k,91k,166k,36k,0.957,164
14220,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,30.002,14,0,-1,2.583,547.254,0.107,85.466,5260k,136k,225k,28k,0.957,264
14221,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,7.822,14,0,-1,2.347,483.562,0.089,9.386,593k,15k,33k,13k,0.96,21
14222,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,16.915,14,6,0,2.535,468.608,0.404,25.579,63k,41k,564k,507k,0.959,70
14223,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,12.472,14,6,0,1.765,280.035,0.367,22.524,61k,33k,651k,612k,0.961,78
14226,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,31.612,14,6,0,2.491,531.587,0.102,115.525,216k,185k,298k,36k,0.959,391
14227,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,37.168,14,6,0,2.521,538.754,0.103,133.168,249k,214k,340k,35k,0.958,391
14228,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,36.9,14,6,0,2.531,540.333,0.104,132.418,248k,213k,339k,35k,0.959,432
14229,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,30.865,14,6,0,2.487,528.903,0.101,110.732,208k,178k,288k,35k,0.957,350
14230,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,31.981,14,6,0,2.513,534.273,0.102,115.153,216k,185k,298k,36k,0.959,373
14231,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,39.342,14,6,0,2.529,537.528,0.103,141.09,265k,226k,356k,35k,0.96,428
14232,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,34.065,14,6,0,2.518,533.181,0.102,122.5,231k,196k,315k,35k,0.96,395
14233,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,38.038,14,6,0,2.534,537.162,0.103,137.212,258k,220k,349k,35k,0.96,460
14234,Prod,LH2,7.937,6.538,5.495,1.332,-35.12,32.103,14,6,0,2.491,525.377,0.101,113.937,215k,182k,296k,35k,0.959,358
